,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001112_RGB.png,"[1038.0, 678.0, 1.0]","[1062.0, 648.0, 1.0]","[1008.0, 648.0, 1.0]","[1092.0, 648.0, 1.0]","[960.0, 636.0, 1.0]","[1116.0, 732.0, 1.0]","[888.0, 708.0, 1.0]","[1194.0, 936.0, 1.0]","[804.0, 864.0, 1.0]","[1074.0, 1020.0, 0.0]","[840.0, 990.0, 0.0]","[1038.0, 954.0, 0.0]","[900.0, 942.0, 0.0]","[1080.0, 1038.0, 0.0]","[900.0, 1044.0, 0.0]","[888.0, 1026.0, 0.0]","[893.9999999999999, 1032.0, 0.0]","[19.59616822089326, -1.3835365348262465, 2.7345281909045354]","[-2.8109832390850977, 17.182936634374585, 5.934480640643315]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001113_RGB.png,"[1044.0, 690.0, 1.0]","[1074.0, 666.0, 1.0]","[1014.0, 660.0, 1.0]","[1098.0, 660.0, 1.0]","[966.0, 642.0, 1.0]","[1128.0, 750.0, 1.0]","[900.0, 714.0, 1.0]","[1194.0, 930.0, 0.0]","[804.0, 870.0, 1.0]","[1044.0, 846.0, 0.0]","[828.0, 972.0, 1.0]","[1050.0, 948.0, 0.0]","[900.0, 954.0, 1.0]","[1044.0, 894.0, 0.0]","[882.0, 954.0, 0.0]","[876.0, 1026.0, 0.0]","[876.0, 1032.0, 0.0]","[19.035069687130054, -0.45259405873718156, 2.1226711562377854]","[-4.611163867265296, 19.452742138675347, 6.12470964564619]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001114_RGB.png,"[1056.0, 714.0, 1.0]","[1086.0, 684.0, 1.0]","[1026.0, 672.0, 1.0]","[1116.0, 690.0, 0.0]","[978.0, 660.0, 1.0]","[1134.0, 774.0, 1.0]","[906.0, 720.0, 1.0]","[1206.0, 966.0000000000001, 1.0]","[816.0, 870.0, 1.0]","[834.0, 1068.0, 0.0]","[834.0, 978.0, 0.0]","[1050.0, 966.0000000000001, 0.0]","[893.9999999999999, 948.0, 0.0]","[888.0, 1032.0, 0.0]","[876.0, 1032.0, 0.0]","[882.0, 1026.0, 0.0]","[882.0, 1026.0, 0.0]","[18.1225806350819, -0.2067375177853157, 2.2928348750464935]","[-8.2900715401217, 21.255070643638334, 6.063249457715864]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001115_RGB.png,"[1062.0, 720.0, 1.0]","[1092.0, 696.0, 1.0]","[1032.0, 690.0, 1.0]","[1122.0, 702.0, 1.0]","[978.0, 678.0, 1.0]","[1140.0, 792.0, 1.0]","[906.0, 726.0, 1.0]","[1206.0, 978.0, 0.0]","[804.0, 882.0, 1.0]","[882.0, 1044.0, 0.0]","[828.0, 972.0, 0.0]","[1062.0, 966.0000000000001, 0.0]","[893.9999999999999, 954.0, 0.0]","[888.0, 1032.0, 0.0]","[876.0, 1038.0, 0.0]","[888.0, 1032.0, 0.0]","[888.0, 1038.0, 0.0]","[18.511851309874817, -0.05568608329384826, 1.8967676904205157]","[-9.563122812504533, 27.666405628106784, 6.728726253515407]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001116_RGB.png,"[1068.0, 744.0, 1.0]","[1098.0, 708.0, 1.0]","[1038.0, 702.0, 1.0]","[1128.0, 714.0, 0.0]","[990.0, 672.0, 1.0]","[1146.0, 810.0, 1.0]","[906.0, 738.0, 1.0]","[1218.0, 978.0, 0.0]","[792.0, 894.0, 0.0]","[828.0, 1068.0, 0.0]","[846.0, 1068.0, 0.0]","[846.0, 1086.0, 0.0]","[906.0, 948.0, 0.0]","[834.0, 1080.0, 0.0]","[876.0, 1038.0, 0.0]","[840.0, 1080.0, 0.0]","[840.0, 1080.0, 0.0]","[18.47249874939437, -0.0410936501966856, 1.9615541320979761]","[-11.0149592624664, 27.8816371503744, 5.683180374269404]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001117_RGB.png,"[1080.0, 768.0, 1.0]","[1116.0, 738.0, 1.0]","[1050.0, 732.0, 1.0]","[1140.0, 738.0, 0.0]","[1002.0, 690.0, 1.0]","[1152.0, 828.0, 1.0]","[912.0, 744.0, 1.0]","[1188.0, 978.0, 0.0]","[810.0, 900.0, 0.0]","[1104.0, 978.0, 0.0]","[882.0, 1050.0, 0.0]","[1032.0, 1068.0, 0.0]","[906.0, 966.0000000000001, 0.0]","[1044.0, 1080.0, 0.0]","[1086.0, 1068.0, 0.0]","[888.0, 1038.0, 0.0]","[882.0, 1038.0, 0.0]","[18.41475409218354, -0.036116092752686624, 2.0201171348500124]","[-14.707360056543944, 31.244868624089495, 2.267851754730144]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001118_RGB.png,"[1086.0, 780.0, 1.0]","[1116.0, 750.0, 1.0]","[1056.0, 744.0, 1.0]","[1146.0, 750.0, 0.0]","[1008.0, 738.0, 1.0]","[1152.0, 828.0, 1.0]","[912.0, 762.0, 1.0]","[1218.0, 983.9999999999999, 0.0]","[810.0, 888.0, 0.0]","[1038.0, 990.0, 0.0]","[1038.0, 983.9999999999999, 0.0]","[1026.0, 1080.0, 0.0]","[852.0, 1080.0, 0.0]","[1044.0, 1086.0, 0.0]","[1026.0, 1080.0, 0.0]","[900.0, 1038.0, 0.0]","[900.0, 1038.0, 0.0]","[18.34669960359253, -0.08158909151606177, 2.0931805658050506]","[-16.42891236044899, 31.642565991768272, 1.6508801789491387]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001119_RGB.png,"[1086.0, 804.0, 1.0]","[1122.0, 774.0, 1.0]","[1056.0, 768.0, 1.0]","[1158.0, 774.0, 1.0]","[996.0000000000001, 762.0, 1.0]","[1158.0, 876.0, 0.0]","[906.0, 780.0, 0.0]","[1218.0, 972.0, 0.0]","[996.0000000000001, 972.0, 0.0]","[1056.0, 978.0, 0.0]","[1026.0, 978.0, 0.0]","[1092.0, 978.0, 0.0]","[1044.0, 978.0, 0.0]","[1092.0, 1080.0, 0.0]","[1038.0, 1080.0, 0.0]","[1092.0, 1086.0, 0.0]","[978.0, 1008.0, 0.0]","[18.24873523282969, -0.1333709171019133, 2.16292464399391]","[-18.487933236475893, 33.09616541548462, 0.16897441627457507]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001123_RGB.png,"[1098.0, 858.0, 1.0]","[1140.0, 822.0, 1.0]","[1056.0, 810.0, 1.0]","[1158.0, 822.0, 0.0]","[996.0000000000001, 798.0, 0.0]","[1164.0, 900.0, 0.0]","[948.0, 1002.0, 0.0]","[1212.0, 1026.0, 0.0]","[1044.0, 1044.0, 0.0]","[1050.0, 1002.0, 0.0]","[1032.0, 1002.0, 0.0]","[1080.0, 1056.0, 0.0]","[1032.0, 1002.0, 0.0]","[1044.0, 1038.0, 0.0]","[1080.0, 1038.0, 0.0]","[1224.0, 1068.0, 0.0]","[1038.0, 1092.0, 0.0]","[22.932882283839895, -3.0290243105657257, 1.5549199829243532]","[-22.055934285421817, 34.15595258749585, -3.651778752893554]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_3_ID21/RGB/001132_RGB.png,"[1044.0, 870.0, 1.0]","[1086.0, 828.0, 1.0]","[1002.0, 822.0, 1.0]","[1116.0, 828.0, 0.0]","[948.0, 828.0, 1.0]","[1140.0, 906.0, 0.0]","[912.0, 1013.9999999999999, 0.0]","[1194.0, 1032.0, 0.0]","[936.0, 1038.0, 0.0]","[948.0, 1044.0, 0.0]","[948.0, 1044.0, 0.0]","[1128.0, 1068.0, 0.0]","[996.0000000000001, 1044.0, 0.0]","[888.0, 966.0000000000001, 0.0]","[888.0, 972.0, 0.0]","[948.0, 1056.0, 0.0]","[948.0, 1056.0, 0.0]","[25.413142405589348, -2.6387261302977074, 2.689752197813491]","[-20.76894753229959, 45.52784475482229, -7.212702664159555]"
