,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000000_RGB.png,"[492.56610107421875, 545.2327880859375, 0.565854012966156]","[477.55902099609375, 559.0411987304688, 0.6482743620872498]","[478.7930908203125, 529.7643432617188, 0.7428132891654968]","[487.34039306640625, 579.0377807617188, 0.4449334740638733]","[488.0984191894531, 510.9444885253906, 0.5635442137718201]","[569.905029296875, 615.8349609375, 0.750801146030426]","[572.24755859375, 469.5718078613281, 0.6983440518379211]","[681.0045166015625, 636.4942626953125, 0.6113842129707336]","[682.0855102539062, 449.7740478515625, 0.6911237835884094]","[772.6966552734375, 622.7532348632812, 0.3809293508529663]","[772.8895263671875, 463.5027160644531, 0.6160353422164917]","[783.3707885742188, 588.87158203125, 0.6021485328674316]","[780.0962524414062, 496.1341857910156, 0.548565685749054]","[811.3358764648438, 628.5525512695312, 0.14451253414154053]","[819.4219360351562, 472.2023620605469, 0.14585331082344055]","[811.1786499023438, 611.2510986328125, 0.1919955164194107]","[819.3380737304688, 475.24749755859375, 0.19765150547027588]","[0.3677611688067665, -1.3283280266354343, 2.2759882841875716]","[3.6936074003373385, -5.067094004751545, 0.17226722264693264]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000001_RGB.png,"[493.24371337890625, 545.2501220703125, 0.5771797299385071]","[478.1260681152344, 558.8456420898438, 0.6607881784439087]","[479.4036560058594, 529.87353515625, 0.7689136862754822]","[486.9024963378906, 579.3561401367188, 0.4389150142669678]","[488.9230651855469, 511.2764587402344, 0.5874053239822388]","[570.2992553710938, 616.5380249023438, 0.7209554314613342]","[572.3223876953125, 469.6670837402344, 0.6974531412124634]","[682.3099975585938, 637.2432861328125, 0.5847826600074768]","[684.531005859375, 449.3447570800781, 0.6895202994346619]","[773.1336669921875, 622.850341796875, 0.3684528172016144]","[775.8448486328125, 463.9774169921875, 0.602598249912262]","[784.2371215820312, 589.3572387695312, 0.5920330882072449]","[786.9098510742188, 494.92242431640625, 0.613510012626648]","[823.4486083984375, 644.7061157226562, 0.07774118334054947]","[821.4590454101562, 472.0418701171875, 0.15061210095882416]","[811.3695068359375, 610.9708251953125, 0.17764925956726074]","[820.7391967773438, 475.1098937988281, 0.19671297073364258]","[0.3454850962403869, -1.2789926865048373, 1.99654714529857]","[3.723390445313507, -5.099452392462534, 0.1536057738217644]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000002_RGB.png,"[493.2121276855469, 545.107421875, 0.5653055906295776]","[478.1112976074219, 558.8472900390625, 0.6705275774002075]","[479.5281677246094, 529.8170776367188, 0.7570540904998779]","[487.0008850097656, 579.2731323242188, 0.439701646566391]","[489.105224609375, 511.2745056152344, 0.5919708609580994]","[570.208251953125, 616.446533203125, 0.728435218334198]","[572.2178955078125, 469.85107421875, 0.7149813771247864]","[679.75439453125, 636.446044921875, 0.5898220539093018]","[682.7496948242188, 450.48394775390625, 0.7061208486557007]","[772.8732299804688, 622.8618774414062, 0.37124550342559814]","[773.3710327148438, 463.7213439941406, 0.5874814391136169]","[783.2809448242188, 589.072509765625, 0.600553572177887]","[785.2108154296875, 494.6988220214844, 0.6162320971488953]","[811.2297973632812, 628.6345825195312, 0.1484280824661255]","[820.6611328125, 471.76666259765625, 0.1514471471309662]","[809.5213623046875, 611.4588623046875, 0.1775539666414261]","[818.8109130859375, 475.1978454589844, 0.208067387342453]","[0.2974442011223744, -1.2528320927121628, 1.8099642571665393]","[3.704914243206354, -5.132334689461448, 0.14263707847794982]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000003_RGB.png,"[493.120361328125, 545.0248413085938, 0.5534990429878235]","[477.865966796875, 558.8811645507812, 0.6714298129081726]","[479.3267517089844, 529.6504516601562, 0.7568315267562866]","[487.2684020996094, 579.1351928710938, 0.45068979263305664]","[489.0379333496094, 511.0147399902344, 0.5895606279373169]","[570.3130493164062, 616.4592895507812, 0.7414236664772034]","[572.1668701171875, 469.7342529296875, 0.7112029790878296]","[683.47119140625, 635.9923706054688, 0.5893446207046509]","[682.5064697265625, 450.6123962402344, 0.6821788549423218]","[773.1898193359375, 623.543701171875, 0.3709070384502411]","[773.944091796875, 464.09808349609375, 0.5918897390365601]","[785.1237182617188, 587.9830322265625, 0.5829309821128845]","[787.5513916015625, 495.2584533691406, 0.6114431023597717]","[811.0, 628.200439453125, 0.15945689380168915]","[820.2444458007812, 472.03729248046875, 0.17186929285526276]","[808.69921875, 612.2361450195312, 0.19403214752674103]","[817.285400390625, 474.9375305175781, 0.226851224899292]","[0.32513680454396116, -1.2816126926674698, 1.7027138158850785]","[3.6896662239947418, -5.158632114771786, 0.13075514025949145]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000004_RGB.png,"[493.10662841796875, 545.6181640625, 0.5780540704727173]","[477.9553527832031, 559.251708984375, 0.68828946352005]","[479.4311218261719, 529.829833984375, 0.7608294486999512]","[485.62005615234375, 578.2194213867188, 0.6222505569458008]","[488.8676452636719, 511.2388916015625, 0.5923339128494263]","[570.1414794921875, 616.1018676757812, 0.7346375584602356]","[572.1129150390625, 469.9633483886719, 0.7205698490142822]","[681.0531005859375, 636.7485961914062, 0.6075016856193542]","[681.7413940429688, 449.6319274902344, 0.6894859671592712]","[774.0714721679688, 623.7769775390625, 0.3708007335662842]","[773.431884765625, 463.91693115234375, 0.6007674336433411]","[782.8558959960938, 588.6724243164062, 0.5900034308433533]","[779.138916015625, 496.1662902832031, 0.5469897389411926]","[811.41650390625, 628.3645629882812, 0.14269809424877167]","[820.3477172851562, 472.1529541015625, 0.1520688682794571]","[810.5604248046875, 612.375244140625, 0.1882358342409134]","[819.0640258789062, 474.8433837890625, 0.20167452096939087]","[0.40292687466411753, -1.3461325523650294, 1.6875272323416497]","[3.649419526381552, -5.1925161514423435, 0.11579706271735007]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000005_RGB.png,"[493.48406982421875, 545.4752197265625, 0.5879387259483337]","[478.1758728027344, 559.196533203125, 0.6895022392272949]","[479.552734375, 529.8226318359375, 0.7631348371505737]","[486.9620056152344, 579.5115356445312, 0.4414154291152954]","[488.9649353027344, 511.17742919921875, 0.5894596576690674]","[570.5499267578125, 616.5189208984375, 0.7032408118247986]","[572.3509521484375, 469.9671936035156, 0.727037787437439]","[681.6259765625, 635.4373168945312, 0.5898513793945312]","[680.7308349609375, 450.637939453125, 0.6955557465553284]","[771.5968627929688, 623.2750854492188, 0.3843742609024048]","[771.5932006835938, 463.34368896484375, 0.590225100517273]","[783.426025390625, 587.0431518554688, 0.5857042074203491]","[785.5673217773438, 494.635986328125, 0.6181391477584839]","[810.8895263671875, 627.9957885742188, 0.15800774097442627]","[819.7384033203125, 472.6853332519531, 0.16989661753177643]","[808.3123168945312, 612.284423828125, 0.19052833318710327]","[816.1089477539062, 468.1981201171875, 0.22220954298973083]","[0.4375715576241671, -1.3374609083931943, 1.7079389938233285]","[3.640595124433286, -5.206083006854125, 0.10574978206015904]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000006_RGB.png,"[493.1656188964844, 545.4004516601562, 0.5669530034065247]","[478.1387023925781, 559.3280639648438, 0.6885016560554504]","[479.63348388671875, 530.0020751953125, 0.7611142992973328]","[485.6725158691406, 578.5953369140625, 0.6354079842567444]","[488.98748779296875, 511.5242614746094, 0.5914162397384644]","[570.472412109375, 616.4622802734375, 0.6819566488265991]","[572.1683349609375, 470.0040283203125, 0.721880316734314]","[680.9387817382812, 635.148193359375, 0.6087296605110168]","[680.7543334960938, 449.900634765625, 0.7042744755744934]","[773.4900512695312, 624.0328369140625, 0.3642597496509552]","[773.0274047851562, 463.4290771484375, 0.5903869867324829]","[782.0155029296875, 588.3550415039062, 0.5888630747795105]","[778.5556030273438, 496.5158386230469, 0.5683950185775757]","[811.3115234375, 629.2974853515625, 0.15354116261005402]","[819.619140625, 471.7030944824219, 0.17289534211158752]","[810.7112426757812, 612.7276611328125, 0.18152078986167908]","[818.620849609375, 467.537353515625, 0.19389697909355164]","[0.447956616613276, -1.313702030137189, 1.7116939748070472]","[3.324816459522739, -5.362141160488537, 0.15515832889123898]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000007_RGB.png,"[493.25872802734375, 545.5423583984375, 0.5747010707855225]","[478.097900390625, 559.4371948242188, 0.6910392642021179]","[479.5402526855469, 529.9791870117188, 0.761044979095459]","[485.5188293457031, 578.5377197265625, 0.6395807862281799]","[488.9549255371094, 511.2084655761719, 0.5818116664886475]","[570.387939453125, 616.400390625, 0.6829292178153992]","[572.4846801757812, 469.75848388671875, 0.7173382639884949]","[679.2721557617188, 635.3814086914062, 0.6235494017601013]","[680.1312866210938, 449.7906188964844, 0.6928414702415466]","[771.464599609375, 623.2900390625, 0.37881144881248474]","[774.02099609375, 463.8337097167969, 0.5770516991615295]","[782.7977294921875, 587.9169311523438, 0.5781818628311157]","[778.7384643554688, 496.348876953125, 0.5637028217315674]","[810.8838500976562, 629.047119140625, 0.16135579347610474]","[819.8359375, 471.36712646484375, 0.1767730861902237]","[809.5135498046875, 611.5918579101562, 0.1861867755651474]","[817.87744140625, 473.93292236328125, 0.20181012153625488]","[0.4678006742825417, -1.3547666781388914, 1.6530750027300811]","[3.1215761898286365, -4.996608320281066, 0.4140938318244665]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000008_RGB.png,"[493.4612731933594, 545.9664306640625, 0.5856231451034546]","[478.1683044433594, 559.9448852539062, 0.6976256966590881]","[479.7810363769531, 530.2399291992188, 0.7643972039222717]","[486.8935241699219, 579.8580932617188, 0.4529257118701935]","[489.26898193359375, 511.2099304199219, 0.5935423970222473]","[570.6707153320312, 616.3775634765625, 0.6985061764717102]","[572.6632690429688, 469.7676696777344, 0.7146234512329102]","[681.6871337890625, 635.8443603515625, 0.6012334823608398]","[679.410888671875, 450.4697265625, 0.6862583756446838]","[772.8469848632812, 623.3080444335938, 0.3856370151042938]","[772.7601318359375, 463.5757751464844, 0.5998219847679138]","[783.6113891601562, 586.96435546875, 0.5690769553184509]","[779.1116333007812, 497.2867126464844, 0.5568105578422546]","[811.0986938476562, 628.7761840820312, 0.1683616042137146]","[819.5259399414062, 472.2152404785156, 0.1720333993434906]","[809.0411987304688, 611.9021606445312, 0.19466403126716614]","[816.8300170898438, 468.3592834472656, 0.21060426533222198]","[0.4718978458207937, -1.378951120896739, 1.6786383274275805]","[3.1747404607364818, -5.118217175057389, 0.3584225482233311]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_3_ID11/RGB/000009_RGB.png,"[493.3769226074219, 545.5487060546875, 0.5728355050086975]","[478.1147766113281, 559.7838134765625, 0.6894064545631409]","[479.5806579589844, 530.285400390625, 0.7525591254234314]","[485.4230651855469, 578.884521484375, 0.6485021114349365]","[488.6341247558594, 511.1185302734375, 0.567776620388031]","[571.1072387695312, 616.181396484375, 0.7025818824768066]","[572.838134765625, 469.7033996582031, 0.6991615295410156]","[683.855224609375, 635.264404296875, 0.5955672860145569]","[682.0276489257812, 449.84918212890625, 0.6546220779418945]","[773.2388916015625, 622.2510375976562, 0.36586517095565796]","[772.8929443359375, 462.75958251953125, 0.5669952630996704]","[783.6320190429688, 587.2874145507812, 0.5662111639976501]","[779.413330078125, 495.7505798339844, 0.5469181537628174]","[811.1690673828125, 628.3097534179688, 0.14810563623905182]","[821.1852416992188, 472.28082275390625, 0.16976553201675415]","[810.7123413085938, 611.1651000976562, 0.1770865023136139]","[819.4222412109375, 468.6604919433594, 0.19141584634780884]","[0.5202856216135774, -1.4273235402188185, 1.7106510275536793]","[3.239342062773978, -5.155137329602079, 0.32150780833334025]"
