,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000000_RGB.png,"[496.9937744140625, 540.6168823242188, 0.5307488441467285]","[485.55535888671875, 554.1574096679688, 0.5845890045166016]","[484.01702880859375, 526.5188598632812, 0.6420155167579651]","[496.5636291503906, 571.591064453125, 0.7256420254707336]","[498.8779602050781, 509.0592956542969, 0.6286959648132324]","[564.094482421875, 602.37353515625, 0.7434043884277344]","[574.2098388671875, 476.384033203125, 0.6022121906280518]","[681.2163696289062, 625.0044555664062, 0.6327154636383057]","[695.7017822265625, 455.3858642578125, 0.5598506927490234]","[795.5447387695312, 664.8765869140625, 0.4019905626773834]","[813.5631713867188, 448.3070068359375, 0.5043370723724365]","[780.649658203125, 584.4537353515625, 0.4960472285747528]","[779.7000732421875, 497.9097900390625, 0.5733826160430908]","[837.1097412109375, 630.0496215820312, 0.045971374958753586]","[840.6471557617188, 479.9978332519531, 0.05601866915822029]","[836.679931640625, 658.2181396484375, 0.08262795954942703]","[846.3290405273438, 455.57476806640625, 0.17947062849998474]","[-0.10785777359908749, -0.054191390056075484, 0.10356467209387529]","[8.213021483859391, -5.04958873547277, -3.189606556042221]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000001_RGB.png,"[496.5718078613281, 540.23876953125, 0.5052797794342041]","[485.23760986328125, 553.7723388671875, 0.6054827570915222]","[483.89208984375, 526.2380981445312, 0.6435441970825195]","[496.63909912109375, 571.3345336914062, 0.7296045422554016]","[499.0165100097656, 509.1099548339844, 0.6323851346969604]","[564.2946166992188, 602.9354858398438, 0.7303653359413147]","[574.1318359375, 476.2841491699219, 0.6174566745758057]","[681.886962890625, 626.3060913085938, 0.6363993287086487]","[696.9180297851562, 455.2026062011719, 0.5661534667015076]","[798.4699096679688, 666.421142578125, 0.40223565697669983]","[814.2716064453125, 447.8187561035156, 0.4941764771938324]","[782.8492431640625, 589.3754272460938, 0.721988320350647]","[782.2676391601562, 497.0295715332031, 0.5645260214805603]","[838.1815795898438, 638.1364135742188, 0.03673087805509567]","[841.1353149414062, 477.6435546875, 0.04628288000822067]","[838.772216796875, 659.357177734375, 0.06299112737178802]","[847.35205078125, 453.6927490234375, 0.15411341190338135]","[-0.2855646159612408, 0.02335482106371753, 0.030390806260070628]","[8.262116867410658, -4.886489398931274, -2.9693132419467227]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000002_RGB.png,"[496.2839050292969, 541.0480346679688, 0.5267587900161743]","[485.17633056640625, 554.3078002929688, 0.6000499725341797]","[483.8617858886719, 526.8584594726562, 0.6548116207122803]","[496.68341064453125, 571.5289916992188, 0.7225022315979004]","[499.50494384765625, 509.54840087890625, 0.6425356864929199]","[564.1142578125, 602.6446533203125, 0.7289861440658569]","[573.8765869140625, 476.869140625, 0.6028326749801636]","[681.289306640625, 626.0950317382812, 0.6235088109970093]","[694.9046020507812, 455.46160888671875, 0.5564136505126953]","[797.6922607421875, 666.7638549804688, 0.39791402220726013]","[812.66455078125, 448.1393127441406, 0.5140941143035889]","[781.5730590820312, 585.34033203125, 0.5219278335571289]","[780.6720581054688, 497.87060546875, 0.5727447867393494]","[837.9224243164062, 630.166259765625, 0.03855736926198006]","[840.9547729492188, 479.37762451171875, 0.049795638769865036]","[838.6376953125, 659.90966796875, 0.07995385676622391]","[846.3753051757812, 454.8553771972656, 0.16950125992298126]","[-0.42037976925873843, 0.056947139774602674, 0.043231809754830916]","[8.357440803292334, -4.855305024076672, -2.9656765701539025]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000003_RGB.png,"[496.4410095214844, 540.7898559570312, 0.5321668982505798]","[485.1566467285156, 554.2645874023438, 0.6066325306892395]","[483.874267578125, 526.6383666992188, 0.6558851003646851]","[496.55322265625, 571.5557861328125, 0.7213811874389648]","[498.95684814453125, 509.2033996582031, 0.6313522458076477]","[564.46484375, 603.3384399414062, 0.7235398292541504]","[574.15576171875, 476.5981140136719, 0.6190618276596069]","[682.4208984375, 626.844482421875, 0.6437053084373474]","[697.0989990234375, 455.0401611328125, 0.5752235054969788]","[799.6964111328125, 666.905029296875, 0.3781116306781769]","[815.6103515625, 447.72625732421875, 0.4967619776725769]","[783.9456787109375, 586.0376586914062, 0.4849109351634979]","[782.1630249023438, 497.398193359375, 0.5706721544265747]","[839.612548828125, 638.2915649414062, 0.03649625927209854]","[841.3475341796875, 477.7491149902344, 0.046213872730731964]","[840.0925903320312, 660.0697631835938, 0.06655900180339813]","[847.9620361328125, 453.7481384277344, 0.15540294349193573]","[-0.575585012104661, 0.08692265928259935, -0.023297620161728358]","[8.331806586220535, -4.803069851968067, -3.0609360304871234]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000004_RGB.png,"[496.53436279296875, 540.173828125, 0.5104142427444458]","[485.2656555175781, 553.635498046875, 0.6215158104896545]","[484.1651611328125, 526.1825561523438, 0.6440612077713013]","[496.5500183105469, 571.09521484375, 0.7308254837989807]","[499.1481018066406, 509.27239990234375, 0.6314864158630371]","[564.4505615234375, 602.7835693359375, 0.7275369763374329]","[575.0131225585938, 477.23980712890625, 0.6425762176513672]","[681.9033203125, 627.5040283203125, 0.6376610398292542]","[695.9223022460938, 455.5687255859375, 0.5751191973686218]","[799.4583740234375, 667.5345458984375, 0.3926580548286438]","[815.2704467773438, 447.4405517578125, 0.48502516746520996]","[783.78466796875, 586.0186767578125, 0.4871707558631897]","[781.6614990234375, 497.875244140625, 0.5638088583946228]","[839.1986083984375, 638.21728515625, 0.03271138668060303]","[841.0368041992188, 476.8076477050781, 0.043311648070812225]","[839.9766235351562, 660.4276123046875, 0.06401572376489639]","[847.3910522460938, 452.9771728515625, 0.15357577800750732]","[-0.6504873457192522, 0.08316021203630203, -0.049359851267522487]","[8.305872199474896, -4.811717979646408, -3.146832980513275]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000005_RGB.png,"[496.3692626953125, 541.2447509765625, 0.5472033023834229]","[485.22637939453125, 554.78173828125, 0.5946654677391052]","[483.8403625488281, 527.2744140625, 0.6708528399467468]","[496.5826110839844, 571.9371337890625, 0.7100895047187805]","[498.932861328125, 509.78753662109375, 0.6448951959609985]","[564.732421875, 603.14599609375, 0.7283039093017578]","[574.9358520507812, 476.498046875, 0.6261674761772156]","[681.7180786132812, 625.636962890625, 0.6375159621238708]","[696.48193359375, 455.5783386230469, 0.5765933990478516]","[797.7799682617188, 666.7008666992188, 0.38843467831611633]","[814.0902099609375, 448.3237609863281, 0.4996336102485657]","[783.263916015625, 585.6763305664062, 0.49570614099502563]","[781.7058715820312, 497.51287841796875, 0.5755528807640076]","[837.8114013671875, 638.6105346679688, 0.04104253649711609]","[841.0086669921875, 479.6300048828125, 0.051665645092725754]","[838.322998046875, 660.0493774414062, 0.07888081669807434]","[847.3380126953125, 455.32952880859375, 0.1643408238887787]","[-0.6889222549717064, 0.09984712538290536, -0.09678605777410995]","[8.428857158384819, -4.76290760540564, -3.1072491284592227]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000006_RGB.png,"[496.32464599609375, 541.2692260742188, 0.5396443009376526]","[485.0600891113281, 554.7578735351562, 0.5974878072738647]","[483.8854675292969, 527.1405639648438, 0.6729024648666382]","[496.1980285644531, 571.8873901367188, 0.7101842164993286]","[498.8586120605469, 509.8032531738281, 0.6456410884857178]","[565.0193481445312, 603.3717651367188, 0.7260145545005798]","[574.4922485351562, 477.8807678222656, 0.6423335671424866]","[681.7518920898438, 626.4505004882812, 0.6313526630401611]","[695.7371215820312, 455.7510070800781, 0.5847808122634888]","[797.7432250976562, 667.466064453125, 0.3752940893173218]","[813.924072265625, 447.74053955078125, 0.5043035745620728]","[783.9906005859375, 586.3847045898438, 0.4893897473812103]","[782.72314453125, 497.8406066894531, 0.5676041841506958]","[837.950439453125, 638.6336669921875, 0.03690458834171295]","[840.7035522460938, 477.9002380371094, 0.04585924372076988]","[838.9805297851562, 660.6553955078125, 0.0750141441822052]","[847.0894165039062, 453.5257873535156, 0.1636316329240799]","[-0.6275892201811785, 0.10039369818569795, -0.18647656026194934]","[7.8564393349310855, -4.961838709514054, -3.025261848081073]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000007_RGB.png,"[496.86083984375, 541.7864990234375, 0.5686149001121521]","[485.5135498046875, 555.2759399414062, 0.5691895484924316]","[483.8753662109375, 527.64990234375, 0.6813062429428101]","[496.41729736328125, 571.9010009765625, 0.7039300203323364]","[498.19342041015625, 510.1391296386719, 0.6520444750785828]","[564.0396118164062, 603.3999633789062, 0.7225809693336487]","[574.7603759765625, 476.6816711425781, 0.6213682293891907]","[680.9968872070312, 627.567626953125, 0.6229158639907837]","[696.3551635742188, 455.26513671875, 0.5860185027122498]","[795.9468994140625, 668.000244140625, 0.40894949436187744]","[815.0712890625, 447.7296447753906, 0.5032994747161865]","[786.962890625, 589.1221313476562, 0.6733055710792542]","[787.4414672851562, 497.39825439453125, 0.6778590083122253]","[837.7464599609375, 639.2778930664062, 0.031860947608947754]","[839.8851318359375, 476.3118591308594, 0.040078599005937576]","[839.0193481445312, 660.9837036132812, 0.06743340939283371]","[847.1915283203125, 452.9511413574219, 0.1632710099220276]","[-0.4859882875438827, 0.06925341311972506, -0.24932543485090877]","[8.08386628128745, -4.875413975991749, -2.9971719811579405]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000008_RGB.png,"[496.0974426269531, 541.64990234375, 0.5513321161270142]","[484.96307373046875, 555.2637939453125, 0.5765999555587769]","[483.3821105957031, 527.6547241210938, 0.7012826800346375]","[496.30462646484375, 572.0601196289062, 0.6848835945129395]","[497.7720642089844, 510.40447998046875, 0.6453329920768738]","[564.5924682617188, 603.1810302734375, 0.7231980562210083]","[573.0218505859375, 478.7437744140625, 0.5889360904693604]","[680.7329711914062, 625.9855346679688, 0.6429146528244019]","[694.0808715820312, 456.1557312011719, 0.5832075476646423]","[796.1112060546875, 667.2589111328125, 0.4132254421710968]","[813.3815307617188, 447.92926025390625, 0.5113808512687683]","[782.92822265625, 586.229248046875, 0.5040345191955566]","[782.589111328125, 497.5960388183594, 0.5821455121040344]","[836.2333984375, 638.7293701171875, 0.036196816712617874]","[839.9031982421875, 477.699462890625, 0.04472676292061806]","[838.0010375976562, 659.7794799804688, 0.07206742465496063]","[846.9130249023438, 453.43768310546875, 0.1593085676431656]","[-0.3108575339375861, -0.01437107716677016, -0.3318322244481197]","[7.816291859771376, -4.850141805544241, -3.0001212522467817]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/12/base_2_ID12/RGB/000009_RGB.png,"[497.40301513671875, 542.4168090820312, 0.603008508682251]","[483.9725036621094, 555.8223266601562, 0.4440905749797821]","[484.03009033203125, 528.0618286132812, 0.6860358715057373]","[495.9449768066406, 572.2325439453125, 0.6846373677253723]","[497.6412048339844, 511.0426330566406, 0.6713317632675171]","[565.3844604492188, 603.0538330078125, 0.7204039096832275]","[573.2738037109375, 478.9666748046875, 0.5854085683822632]","[681.6145629882812, 626.3846435546875, 0.6380127668380737]","[692.7481079101562, 456.3246154785156, 0.5820934176445007]","[799.0167236328125, 667.6293334960938, 0.3797807991504669]","[813.1095581054688, 447.0162048339844, 0.5125178694725037]","[784.1978149414062, 589.9458618164062, 0.7167896032333374]","[787.1598510742188, 496.3280944824219, 0.6904154419898987]","[838.5328369140625, 639.05615234375, 0.025904089212417603]","[841.083984375, 474.8790588378906, 0.03397095948457718]","[840.6688232421875, 660.3367309570312, 0.05844442546367645]","[846.8319091796875, 451.0863952636719, 0.14123721420764923]","[0.0002493259696748046, -0.12083477658730847, -0.2632175949035587]","[7.991280894912329, -4.757849519772309, -2.9252301649268015]"
